address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,choice.11,choice.12,choice.13,choice.14,choice.15,choice.16,choice.17,voting_power,timestamp,author_ipfs_hash,reason
0x51b9C1Df35B044b5c0099D1fD07EAb7cE38f325d,,,1,1,1,1,,,1,,,,1,,,,,100580.528648144,1704135248,bafkreif2p4skbumvltlivx5q2mhyt4nlrn2jeyuqoxriyz4hoxjddcikuy,""
0x1e90474D2E83e7B7dD45553156Beb316845E66A4,,,,,,2,,2,,3,,,1,,,2,,1000,1704135566,bafkreid6ln5jmdy5kyhc5wz5bft6ndja4kb5oedl24gftvgbdjc2mt5de4,""
0xebE45812659d8A4Fcc0703D478ABA0ba56E49D9c,,,,,,,,2,,,,,1,,1,,1,1000,1704135794,bafkreibzwpgkw5s33cczzldvd7cbsahsxlzittessyu5fxi5ixjwshvteq,""
0xcba08346895f93331caEa633efB83a9906Bd219C,,,,,,,,,,,,,,,1,1,,1000,1704135855,bafkreif7ixsyf7yhoi4sxophhtrfaw7yp7bdo43gt72azqdyrlrl5hwij4,""
0x0CF30daf2Fb962Ed1d5D19C97F5f6651F3b691c1,,,,,,,,,,50,,,100,,,,,1000,1704135969,bafkreidrxezyg4u7fxtokfw2hqajop6eh4thx4obkviqdh4zhwqqygouwi,""
0xA3aD5CFb4FF4B68e37A338Da200BA441C1850B5b,,,1,,,,,1,,,1,,1,,,,,1000,1704136118,bafkreiccwoukzmxu6ngotubzgvw3fcfkmjhzogawoz437jr5g4luwhpv7q,""
0x9e602c1920443F01Cb100a57A7F894df8Eb42f66,,,,,,,,,,1,,1,,,,,,1000,1704136266,bafkreid5tq7etmhk2373ddyc6duysswoonilosb6xiyo2m6ebjrvdjfj7u,""
0x38a03958C22065E13397B19c817E74e9477D5984,,,,,,,,1,,,1,,1,,,,,1000,1704136290,bafkreicshvaoz5xyoku6wv4tkpxntu7sw7pcv6bqveenz2wo5oxwdhayry,""
0x3B981fA5dD50237dAb6F96A417A6690B6f20FcC4,,,,,,,,,,1,,1,,,,,,1000,1704136368,bafkreifkzhnmtmygp5xpgpp6gtxv4azvy3i24uj7ldr5e2ngfh25g5kvri,""
0x3b6CCE32ba37fA5689Fab313371Dcf044ECeF536,,,,,,1,,1,,2,,,1,1,1,,1,1000,1704136521,bafkreihdzkxist6clf23wifduavlepot3b7z4helftksqc2iy5shgwa4ee,""
0x432C53218A11bEd08d238Cf84ff547CE4fe933ab,,,,,,,,,,1,,,,,,,,1000,1704136576,bafkreiaqv267uekcdmgngwxr4mjvkfexabgofwncdxj5ev5qp5egid3wnu,""
0xf9e1D1e9F22c96752356AdFd377231528c7E851E,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1000,1704136734,bafkreieofiyflektkfcubt4h6qrivj7mk4ph6tnr5lgis2pfxzjbcvku5m,""
0x6C9258895FFBE2178b3EdEfE09AF304a1e99bF2F,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,200,1704136980,bafkreidld64ptgeuvvr5netu6raqpaugbefkhlkbavvu35lv366akcxrk4,""
0x9d17Bb55b57b31329CF01aa7017948e398B277bc,1,1,,,,1,,,,1,,,1,,,1,,1000,1704137349,bafkreih5yrzgt3ydzuvyne4iupj3nrsbgq5brw2vurtx35yjkixua7gbmu,""
0xafA3E6E29D99337b166b83fB24bA17b19764B49D,,,1,1,,1,,1,,1,,,,,,,,14738.8395,1704137609,bafkreicbnfymj7atbzy5b4oml6laspscerqcppklium6kl5ipbdufbnxh4,""
0xc2aEdB7D84B168683185CC401dD2d0d9B14d1aAE,1,1,10,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1081.2295,1704137710,bafkreiccqn7gk2k53lranw3pwataaklln7ozsbv6okadf2k5hdo7coap3m,""
0xBEa26DE685Ef828b60cA53b40Ecc9Bab35645fDF,,,,1,,1,,,,,,,1,,,,,182.11389320129555,1704138996,bafkreiek6r7et5id4xzpd3pekxvooh2meyac7q3wpmelpqta57ao42dzii,""
0x3FFD0C300fa4a021364Ae7e85a7b0d3a02133f99,,,,1,,1,,,,,,,1,,,,,104.01828968389601,1704139079,bafkreiaxlf2b3dtcbc7unxqcleqklw4e2voy6iyf5i32vui5azuisrugrq,""
0x6C965b656C450259a6D4d95A2E68Fb4319EecBc0,2,1,,,,,,,1,1,,,,,,1,,1000,1704139614,bafkreif6vsm57gs3umd4vyawgy2dex4lvlsrw6b7qnyr2dvg5f47rwmloi,""
0x8dA48e5846c06B558970ACd42EDc7Da8799481E4,,,,,,,,,,,,50,,50,,,,1000,1704140047,bafkreifyj2gaspi4u25isszc6ghfj2qzkifhtd5awahuwiiv3tswcrl6hm,""
0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,,,,,,,1,,,,,,,,,,,1000,1704140143,bafkreidze7azjnmc7hm6gn3ijwnwnzxa4za4yp7grs6rahu7xmlqk27eei,""
0x2AC6A3561a43f06d62602eF9728C2B9eEc393326,,,,,,,,,,,,50,,50,,,,1000,1704140264,bafkreieyrbercjxcjcqb4e6yuq3mfy6dhdizlfhpaidl5dftk7fdfgfxyu,""
0x583bBaDA56bb535BCBb31877A620A6ff2A25CeA5,,1,,,,,,,,1,,1,1,,,,,1000,1704140579,bafkreicn5gaic5rf3i4l5cuzp2hdw3njc4vowvrkmfzj4mkzg334vody6m,""
